Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-06-2020,AARTIIND,EQ,976.15,986,1006.3,977,981.8,982.75,992.06,709662,7.04025E+13,19544,433336,0.6106
02-06-2020,AARTIIND,EQ,982.75,989.8,998.25,971.1,972,973.6,982.5,358832,3.52551E+13,19133,174329,0.4858
03-06-2020,AARTIIND,EQ,973.6,974,993.4,950,951.65,955.45,968.36,848495,8.21652E+13,40145,385591,0.4544
04-06-2020,AARTIIND,EQ,955.45,954,959.95,893.15,899,899.4,911.49,1614936,1.472E+14,79209,904281,0.5599
05-06-2020,AARTIIND,EQ,899.4,908,920,893.2,912,908.75,910.28,649815,5.91511E+13,30632,275740,0.4243
08-06-2020,AARTIIND,EQ,908.75,922,938,911.05,923.65,923.2,925.3,641303,5.93399E+13,27080,286370,0.4465
09-06-2020,AARTIIND,EQ,923.2,930,937,922,928,930.2,929.83,357569,3.32478E+13,13661,177381,0.4961
10-06-2020,AARTIIND,EQ,930.2,936,945,930.7,933,933.25,937.13,331194,3.10371E+13,19582,156613,0.4729
11-06-2020,AARTIIND,EQ,933.25,933,938,919.1,925.6,926.1,929.7,275490,2.56122E+13,11133,133463,0.4845
12-06-2020,AARTIIND,EQ,926.1,885,921.55,885,918,918,910.69,514186,4.68263E+13,14161,329719,0.6412
15-06-2020,AARTIIND,EQ,918,905,918,850.3,878.9,869.45,863.29,5093872,4.3975E+14,149791,3749275,0.736
16-06-2020,AARTIIND,EQ,869.45,892,933,880.1,929,924.25,911.64,2498393,2.27764E+14,64078,1355085,0.5424
17-06-2020,AARTIIND,EQ,924.25,927,949,916.4,935.05,935.05,935.3,1306547,1.22201E+14,44018,782675,0.599
18-06-2020,AARTIIND,EQ,935.05,935.05,946.25,925.3,940,939.8,933.52,997009,9.30724E+13,19610,824738,0.8272
19-06-2020,AARTIIND,EQ,939.8,945,962.75,935,961,961.2,956.09,741145,7.08604E+13,34488,415373,0.5604
01-01-2018,ABB,EQ,1402.9,1412,1413,1390.05,1410.25,1399.65,1403.39,44720,6.27596E+12,2369,23418,0.5237
02-01-2018,ABB,EQ,1399.65,1400,1424.8,1392.05,1419,1400.2,1408.6,62917,8.86252E+12,3812,28470,0.4525
03-01-2018,ABB,EQ,1400.2,1401,1424.5,1401,1420,1414.45,1416.37,57470,8.1399E+12,3150,22582,0.3929
04-01-2018,ABB,EQ,1414.45,1420,1449.95,1415,1428.8,1433.3,1438.59,154339,2.22031E+13,5661,60858,0.3943
05-01-2018,ABB,EQ,1433.3,1432,1458,1430,1436.95,1435.1,1441.08,99155,1.4289E+13,4263,60215,0.6073
08-01-2018,ABB,EQ,1435.1,1444,1447.45,1430,1435,1437.6,1439.62,130805,1.88309E+13,1731,114019,0.8717
